Virus,TickFamily,TickGenera
Ixodes scapularis associated virus 2,Ixodidae,Ixodes
Ixodes scapularis associated virus 4,Ixodidae,Ixodes
Ixodes scapularis associated virus 5,Ixodidae,Ixodes
Ixodes scapularis associated virus 6,Ixodidae,Ixodes
Lone star tick associated virus 1,Ixodidae,Ixodes
Sapphire II virus,Argasidae,Argas 
Tick borne tetravirus-like virus,Ixodidae,Dermacentor 
Zirqa virus,Argasidae,Argas 
Zirqa virus,Argasidae,Ornithodoros 
Amblyomma dissimile mivirus,Ixodidae,Amblyomma 
